start_jid,end_jid,sfzh,hcbc
6406,740008455,22062119450729695X,S122
69514,740008455,522730198303022108,S122
93634,140000270,621223193803030840,K992
67137,140000270,220524193805131626,K992
46617,140000270,152900196009221709,K992
33509,140000270,65282419461022311X,K992
9540,140000270,130501199402064634,K992
41968,740004582,321100196906087826,E184
18634,740004582,341623193902126260,E184
54365,740004582,410900199507283852,E184
58910,740004582,542521198108089995,E184
55638,740004582,511402194007057637,E184
41968,340000605,321100196906087826,Y872
34766,340000605,340603194101261540,Y872
59141,340000605,654326194108126602,Y872
88105,340000605,510104197804141531,Y872
69722,340000605,511603195901244789,Y872
41968,440001725,321100196906087826,T556
95255,440001725,230304198902034164,T556
81379,440001725,632323194205015870,T556
65375,440001725,620521194510234097,T556
723,440001725,621125199308078964,T556
41968,940002161,321100196906087826,R009
13311,940002161,410726198303057130,R009
58504,940002161,330000199308069117,R009
72331,940002161,361027193106057969,R009
41015,940002161,211303197405229821,R009
9553,240008845,341523193605135229,L257
29800,240008845,421201199403022341,L257
36789,240008845,420900195307274947,L257
69722,240008845,511603195901244789,L257
82545,240008845,320111197306033499,L257
9553,640003521,341523193605135229,Y773
23032,640003521,533421197501274475,Y773
9395,640003521,321182193612160312,Y773
63916,640003521,621124193505120734,Y773
84885,640003521,622901198012225952,Y773
9553,840004208,341523193605135229,E510
88552,840004208,360430194905167842,E510
52067,840004208,361125197503078537,E510
59070,840004208,44082319990310008X,E510
35574,840004208,441501200101044815,E510
9553,140000731,341523193605135229,S907
19671,140000731,500243193304134597,S907
92261,140000731,522324194703057388,S907
63703,140000731,510923193312124211,S907
94236,140000731,530927194806269836,S907
2890,940006874,130324196910152024,D347
16189,940006874,530300193703239776,D347
46517,940006874,350502194807305250,D347
35274,940006874,440403193804295120,D347
66577,940006874,420504200002073009,D347
2890,240002000,130324196910152024,N644
24731,240002000,371625195412025659,N644
29529,240002000,610627195709224167,N644
38170,240002000,445122200012116526,N644
49627,240002000,520622198805300828,N644
2890,640003503,130324196910152024,Y825
91961,640003503,230183194503238174,Y825
72217,640003503,511325200105071501,Y825
13694,640003503,360926195209125443,Y825
42291,640003503,370323198703063800,Y825
2890,940007892,130324196910152024,R455
92273,940007892,441201195702175538,R455
32644,940007892,350181199210247285,R455
63474,940007892,442000200004033759,R455
42325,940007892,410325197809185161,R455
96812,940009113,360728197307045798,C494
94500,940009113,140300193107279541,C494
92879,940009113,42130119840216391X,C494
18151,940009113,513426198602283111,C494
68238,940009113,371623199810265004,C494
96812,440004043,360728197307045798,G591
65605,440004043,230604197803013650,G591
81267,440004043,451028196801029486,G591
6645,440004043,450923198610199242,G591
7129,440004043,450821199612157587,G591
96812,540003113,360728197307045798,A001
64594,540003113,230301197510254690,A001
54095,540003113,130304198805031718,A001
1499,540003113,451400199806117484,A001
27034,540003113,370611193811038264,A001
73993,640002681,53063019920802151X,Z080
41017,640002681,141022196612062665,Z080
72491,640002681,320203193401257076,Z080
69016,640002681,130530194810285611,Z080
92799,640002681,610581195005170562,Z080
73993,440004047,53063019920802151X,C946
5784,440004047,310112193903279231,C946
54347,440004047,431081196203075907,C946
49823,440004047,36092519610903397X,C946
968,440004047,130729199811044260,C946
73993,640009955,53063019920802151X,H742
37208,640009955,370404198612217356,H742
35191,640009955,230822199311166258,H742
84935,640009955,230110196604048696,H742
36435,640009955,422827193306013654,H742
73993,940003806,53063019920802151X,D989
67752,940003806,341621195812046933,D989
26935,940003806,37070419370102455X,D989
54168,940003806,22038219910614994X,D989
43300,940003806,610625199902012655,D989
73993,140007654,53063019920802151X,Z713
4248,140007654,430621198702157928,Z713
29047,140007654,321204198909232224,Z713
2466,140007654,510923199706217880,Z713
948,140007654,421222194109293246,Z713
52572,940009197,410501197504258382,Z800
73079,940009197,211281197604263495,Z800
92190,940009197,440222194310302995,Z800
85085,940009197,422823197302093864,Z800
46712,940009197,610000193704060755,Z800
52572,140001435,410501197504258382,R103
23527,140001435,360301199405137722,R103
11570,140001435,654223199201030646,R103
55573,140001435,340300195211017011,R103
25362,140001435,513432198612019784,R103
52572,640001077,410501197504258382,G930
99161,640001077,533421194405066218,G930
73100,640001077,430203193609254769,G930
41015,640001077,211303197405229821,G930
32794,640001077,350122199109167731,G930
51375,740000354,420324198305227241,S010
11839,740000354,511113194910117010,S010
45398,740000354,411101195510218563,S010
57017,740000354,361028197909288351,S010
38289,740000354,469029197606014748,S010
51375,140003465,420324198305227241,A615
44106,140003465,120115195709118007,A615
84648,140003465,360481195209251199,A615
57050,140003465,130521195106014939,A615
82326,140003465,330324194204301369,A615
51375,440003253,420324198305227241,H434
12848,440003253,320200199311101295,H434
61283,440003253,41010319320824646X,H434
45195,440003253,34172319750817716X,H434
15434,440003253,131028197606082775,H434
51375,640001223,420324198305227241,Z817
62239,640001223,140800195605106738,Z817
45501,640001223,320114199902228856,Z817
61273,640001223,150301197804078485,Z817
42634,640001223,220521193004104709,Z817
64594,940001166,230301197510254690,Z484
27180,940001166,431127193708189583,Z484
28356,940001166,140222194009250910,Z484
13493,940001166,140100195907211682,Z484
17571,940001166,540121193502060414,Z484
64594,940005947,230301197510254690,T862
88803,940005947,410601195604229278,T862
51902,940005947,500119198711183369,T862
55573,940005947,340300195211017011,T862
41449,940005947,542200193905316504,T862
64594,540007331,230301197510254690,D717
26245,540007331,430721199410205609,D717
78756,540007331,520000194305232188,D717
19806,540007331,511903195210224718,D717
98328,540007331,431101194307257507,D717
64594,440003271,230301197510254690,Y175
7673,440003271,330206193307282305,Y175
68238,440003271,371623199810265004,Y175
76730,440003271,420702193606106639,Y175
79810,440003271,511526193907147218,Y175
1514,540004349,530721198607167123,R403
27173,540004349,150921196112144879,R403
43748,540004349,530828195910106215,R403
61583,540004349,62052319671201959X,R403
59071,540004349,21080220010310266X,R403
1514,740007401,530721198607167123,N681
42286,740007401,231001198301101910,N681
38447,740007401,350205199203181352,N681
13898,740007401,520621194904018217,N681
41118,740007401,350400197609113632,N681
1514,940006323,530721198607167123,T116
68707,940006323,410602197903092617,T116
38137,940006323,520382193105088106,T116
64813,940006323,220282199406243297,T116
64899,940006323,610100193803047340,T116
1514,340005203,530721198607167123,S954
78260,340005203,610831198602167755,S954
9407,340005203,320508198009219551,S954
86024,340005203,341523196410253421,S954
42510,340005203,532801193701245553,S954
1514,140001660,530721198607167123,C082
9835,140001660,370683195807217535,C082
66068,140001660,440604197409162817,C082
71257,140001660,130208200108108433,C082
46389,140001660,540102196803035110,C082
11437,840000027,330501200106271770,S315
46382,840000027,340501199705130642,S315
76277,840000027,513425196707065414,S315
46947,840000027,500113199307035264,S315
88075,840000027,320706195505218341,S315
11437,740002303,330501200106271770,D119
46315,740002303,440514200011181155,D119
5427,740002303,441702193007262351,D119
14517,740002303,371601193809212946,D119
96385,740002303,340403195804289746,D119
11437,140000975,330501200106271770,H596
23964,140000975,140925197410315195,H596
24374,140000975,321183197207136428,H596
25053,140000975,13032419890814485X,H596
3411,140000975,371625198311265577,H596
11437,740004895,330501200106271770,L974
16967,740004895,350825198707206721,L974
35986,740004895,411426195702174394,L974
52919,740004895,610701194509023157,L974
66301,740004895,410411198805150924,L974
66267,240000602,150122197609146893,H824
67663,240000602,220211197505208097,H824
13511,240000602,510683198604223441,H824
34204,240000602,445200198201170625,H824
81248,240000602,231102196009107031,H824
66267,340000601,150122197609146893,C745
33020,340000601,211202194607120394,C745
46790,340000601,513328198303115203,C745
97129,340000601,34132419440305894X,C745
12877,340000601,532930193803318132,C745
66267,840002098,150122197609146893,H677
17654,840002098,330922199712214707,H677
41071,840002098,222406193102140730,H677
9140,840002098,542100195007082586,H677
62881,840002098,410527199603234098,H677
66267,840003786,150122197609146893,Y680
25081,840003786,350301198110057729,Y680
12015,840003786,230123196709257891,Y680
12137,840003786,131181194012194394,Y680
77848,840003786,210604194810218032,Y680
72303,340006950,370321196704096303,D361
61443,340006950,65282319650519708X,D361
33779,340006950,430482196203293362,D361
19581,340006950,210122197405034060,D361
12187,340006950,370523198912282330,D361
72303,140001585,370321196704096303,T552
28356,140001585,140222194009250910,T552
74187,140001585,540000200101289766,T552
53107,140001585,430900194803149990,T552
76886,140001585,152921196412095927,T552
72303,240002001,370321196704096303,N438
26188,240002001,370401193106204470,N438
46100,240002001,510504193906049932,N438
8663,240002001,511503194708097297,N438
38849,240002001,411322198009204965,N438
72303,840002234,370321196704096303,Y657
29800,840002234,421201199403022341,Y657
84761,840002234,340101198712207963,Y657
9329,840002234,623001197711214790,Y657
32018,840002234,620901198410061445,Y657
19401,640006016,520521198604090308,N733
24679,640006016,371001200108216725,N733
53189,640006016,130402198112084895,N733
41853,640006016,410523193307186105,N733
11139,640006016,230623194202131630,N733
19401,840006135,520521198604090308,D591
92772,840006135,150428195111020244,D591
1865,840006135,140828193211295203,D591
38533,840006135,429021198604148503,D591
36357,840006135,621126193304135991,D591
62464,940006671,360600196012248858,A471
9493,940006671,451424199710294313,A471
27292,940006671,533300194106195581,A471
24298,940006671,441882196305115609,A471
74867,940006671,511322199109140848,A471
62464,840003562,360600196012248858,E198
79839,840003562,230203194401081464,E198
76041,840003562,450300195509141942,E198
59315,840003562,340101198503215553,E198
86302,840003562,130802196311139505,E198
62464,840002043,360600196012248858,E756
3320,840002043,410702197505312122,E756
57127,840002043,321102194212047241,E756
12650,840002043,440513199102150600,E756
91079,840002043,371083196305074688,E756
62464,140003533,360600196012248858,G966
38447,140003533,350205199203181352,G966
46574,140003533,370724195006075560,G966
27136,140003533,110114197607316513,G966
9141,140003533,610422198104139745,G966
67029,540000608,620522198609246981,T643
87807,540000608,520112193912161859,T643
23892,540000608,530630197806206937,T643
38941,540000608,445301198311177520,T643
78162,540000608,33000019710918325X,T643
67029,440000344,620522198609246981,H502
36983,440000344,511402194602259241,H502
97706,440000344,510726193508253216,H502
17639,440000344,542100194305045711,H502
79516,440000344,440604193101247541,H502
2877,740002826,321204198806186018,G598
12846,740002826,450924195902063294,G598
91106,740002826,51190119410802371X,G598
16442,740002826,370832193212217263,G598
49348,740002826,360302193805265028,G598
2877,740008949,321204198806186018,A965
23956,740008949,320324199805156882,A965
64702,740008949,620825195812201174,A965
1512,740008949,513332194608032392,A965
19338,740008949,350622198902161792,A965
2877,940007957,321204198806186018,Y733
89138,940007957,420607193308061176,Y733
66400,940007957,430529198810104466,Y733
73000,940007957,140301193502277737,Y733
13493,940007957,140100195907211682,Y733
79836,340008237,220802194411223184,Z487
59069,340008237,23090119471123445X,Z487
95658,340008237,460200193402163970,Z487
4815,340008237,371522198108110604,Z487
69564,340008237,640101198203155043,Z487
79836,440002609,220802194411223184,K809
69820,440002609,430102194203201360,K809
99077,440002609,140729195302182829,K809
94217,440002609,430581196812318069,K809
83549,440002609,51202119690501453X,K809
79836,340004359,220802194411223184,D460
8910,340004359,530326194711039473,D460
84316,340004359,653001195705128665,D460
51317,340004359,341521196012216171,D460
4596,340004359,441403194405180735,D460
44711,940005000,220284194307204292,E719
37426,940005000,431022199406251759,E719
51857,940005000,450481198510265472,E719
34737,940005000,511603197512085808,E719
82864,940005000,150800194107096087,E719
44711,940001790,220284194307204292,H233
66243,940001790,370681198804060537,H233
91749,940001790,51070419450821351X,H233
98167,940001790,420103197407230786,H233
67339,940001790,530702193909013187,H233
44711,840006251,220284194307204292,C373
78260,840006251,610831198602167755,C373
91210,840006251,210521195911022675,C373
21727,840006251,440232193802272321,C373
28652,840006251,652801199609149360,C373
44711,440001325,220284194307204292,K936
31460,440001325,511112199304149705,K936
75196,440001325,430527199301238839,K936
15848,440001325,650107199710081565,K936
66233,440001325,110228194505204078,K936
73786,940000789,370684198305316568,A844
92577,940000789,14112419730426660X,A844
23637,940000789,371121199809049144,A844
36435,940000789,422827193306013654,A844
49566,940000789,32090219840129391X,A844
73786,140000935,370684198305316568,K493
9493,140000935,451424199710294313,K493
83541,140000935,341501197112156064,K493
8624,140000935,520122195008067874,K493
88532,140000935,420503195612305313,K493
36164,540009610,520523193604079256,H503
1282,540009610,130725200103076659,H503
22014,540009610,411701199906134391,H503
49682,540009610,61010319631108886X,H503
75055,540009610,440605197604294854,H503
36164,140001333,520523193604079256,Z909
73843,140001333,650201195009143069,Z909
65214,140001333,150223198810171237,Z909
14720,140001333,130121195503117622,Z909
73938,140001333,532300193410120845,Z909
36164,840004179,520523193604079256,S767
17654,840004179,330922199712214707,S767
78479,840004179,420902197509210775,S767
52780,840004179,610901198704179703,S767
23532,840004179,321302197701237243,S767
36164,740006553,520523193604079256,Y524
54426,740006553,230521193903175094,Y524
25445,740006553,460100193906077253,Y524
57836,740006553,411201197908311850,Y524
28652,740006553,652801199609149360,Y524
75203,540003907,450801195601232007,H649
63685,540003907,230828194209022632,H649
97027,540003907,150700198204250405,H649
87000,540003907,310110194906041343,H649
26463,540003907,450601195308104750,H649
75203,640005273,450801195601232007,E624
14862,640005273,51343219570531835X,E624
91949,640005273,360122196210127644,E624
25737,640005273,620700196603071360,E624
1282,640005273,130725200103076659,E624
75203,340004041,450801195601232007,G962
6645,340004041,450923198610199242,G962
62844,340004041,430682198505168452,G962
34676,340004041,513222193301085868,G962
24166,340004041,34032319910411111X,G962
61389,440008234,232722196504192236,S448
57123,440008234,440500195012252355,S448
92828,440008234,320411198108058303,S448
42796,440008234,421083199304166618,S448
75023,440008234,32100219710506735X,S448
61389,840009598,232722196504192236,A465
2244,840009598,320900197112100280,A465
81429,840009598,513437197203063570,A465
95658,840009598,460200193402163970,A465
59710,840009598,632621195510174446,A465
61389,640007674,232722196504192236,D024
54991,640007674,520627197706116758,D024
34737,640007674,511603197512085808,D024
72491,640007674,320203193401257076,D024
88442,640007674,320311198201110801,D024
61389,340001221,232722196504192236,H157
95851,340001221,441701199409037385,H157
35296,340001221,430501193703108091,H157
56659,340001221,360122194505260830,H157
61735,340001221,610524193704192633,H157
54095,140001125,130304198805031718,N856
69444,140001125,431281194206097783,N856
54207,140001125,320703193412304058,N856
61583,140001125,62052319671201959X,N856
84323,140001125,13112819820422921X,N856
54095,640001383,130304198805031718,N127
87865,640001383,410503196702213378,N127
6160,640001383,152525197905287861,N127
9407,640001383,320508198009219551,N127
26167,640001383,440300196902277996,N127
54095,340008698,130304198805031718,K653
65411,340008698,520329193609255447,K653
72467,340008698,220323194709169082,K653
62808,340008698,623021196604216695,K653
21506,340008698,511001193703124124,K653
93202,940005939,410400199303299353,L906
88635,940005939,310200194312260998,L906
31520,940005939,320582198810247228,L906
98866,940005939,350504197408120554,L906
64657,940005939,211404195504235939,L906
93202,240000019,410400199303299353,R368
3988,240000019,440100194608256801,R368
78756,240000019,520000194305232188,R368
67540,240000019,321023198306243600,R368
82159,240000019,421201199107035711,R368
93202,740007730,410400199303299353,A428
46146,740007730,450122196503254585,A428
4710,740007730,512001193108270996,A428
51317,740007730,341521196012216171,A428
39745,740007730,53012419761110352X,A428
97913,240007863,361124197608184292,H788
79037,240007863,410224196608126660,H788
79839,240007863,230203194401081464,H788
45594,240007863,330782196001219028,H788
35708,240007863,341225195506279425,H788
97913,440004444,361124197608184292,E307
36735,440004444,21092119750502131X,E307
69482,440004444,130983194712160326,E307
46630,440004444,330205196306224071,E307
32018,440004444,620901198410061445,E307
97913,840003418,361124197608184292,Z520
14680,840003418,320703198411011002,Z520
24679,840003418,371001200108216725,Z520
46947,840003418,500113199307035264,Z520
34592,840003418,140829193407179550,Z520
97913,540005102,361124197608184292,H268
67462,540005102,421100193505023311,H268
44106,540005102,120115195709118007,H268
16858,540005102,211221195910011733,H268
18963,540005102,430501198109216076,H268
68712,840007700,130400195201075150,C320
43177,840007700,210505196710175119,C320
15074,840007700,211404193010278702,C320
51048,840007700,64020019460518119X,C320
29490,840007700,370285193208300152,C320
68712,540001763,130400195201075150,S360
25445,540001763,460100193906077253,S360
54207,540001763,320703193412304058,S360
54315,540001763,210604199706091513,S360
84330,540001763,510403198310308076,S360
68712,240000137,130400195201075150,E405
98763,240000137,469029198905197024,E405
67697,240000137,410306199512291801,E405
1175,240000137,440881193209028774,E405
42291,240000137,370323198703063800,E405
68712,640002235,130400195201075150,K810
17261,640002235,130528197709288473,K810
77779,640002235,220112197308059214,K810
87000,640002235,310110194906041343,K810
1888,640002235,46020019590126461X,K810
68712,640008181,130400195201075150,Y418
78648,640008181,11011219680630821X,Y418
36624,640008181,130705195103301749,Y418
37983,640008181,110106200002173366,Y418
54749,640008181,430304196208249788,Y418
93490,340002245,320921193002070168,N648
63445,340002245,513326198601050484,N648
43293,340002245,451381197209087575,N648
97457,340002245,430522196308111800,N648
59805,340002245,370783197507193353,N648
93490,940001955,320921193002070168,K616
15481,940001955,340523197011244898,K616
93424,940001955,44022219351231085X,K616
62844,940001955,430682198505168452,K616
66805,940001955,210804198901190070,K616
93490,940006896,320921193002070168,C801
5115,940006896,420116193307145481,C801
15645,940006896,62290119790731736X,C801
25053,940006896,13032419890814485X,C801
36476,940006896,140123199808319260,C801
93490,140000255,320921193002070168,N652
79839,140000255,230203194401081464,N652
62632,140000255,210902195201037568,N652
55271,140000255,341600195512074746,N652
92653,140000255,513330193105102347,N652
93490,940002224,320921193002070168,C471
25081,940002224,350301198110057729,C471
97463,940002224,130209193709259214,C471
91961,940002224,230183194503238174,C471
66577,940002224,420504200002073009,C471
66633,340003270,659001197302195673,G347
21829,340003270,230125199710042464,G347
78498,340003270,440781198812170924,G347
44399,340003270,230600200010041175,G347
5423,340003270,14112719510812839X,G347
66633,340000500,659001197302195673,N669
81341,340000500,410304194306242595,N669
57144,340000500,450305199109120851,N669
38674,340000500,370403197102122073,N669
69850,340000500,410400199007052129,N669
66633,740003296,659001197302195673,Z146
87529,740003296,14072119380817296X,Z146
51324,740003296,140927198009165992,Z146
4607,740003296,540229193605145601,Z146
3975,740003296,340823200011121688,Z146
66633,640007605,659001197302195673,K515
29198,640007605,150222194206029061,K515
99942,640007605,420800193805045421,K515
41123,640007605,441623195107160200,K515
61273,640007605,150301197804078485,K515
59792,440006384,411403199006270001,R879
97027,440006384,150700198204250405,R879
15572,440006384,451027195002159857,R879
31520,440006384,320582198810247228,R879
7453,440006384,440300195303171474,R879
59792,740008673,411403199006270001,T636
34721,740008673,320901199608041531,T636
21108,740008673,360730194304269866,T636
86040,740008673,130622194712268450,T636
883,740008673,431221196606073126,T636
59792,440007427,411403199006270001,T947
55769,440007427,640522197809013364,T947
86398,440007427,350122194609190361,T947
86001,440007427,370684196911084614,T947
64750,440007427,542600193106182281,T947
59792,240001770,411403199006270001,C574
31947,240001770,370113194610082007,C574
78036,240001770,430502194509070457,C574
55925,240001770,450423196403285440,C574
43011,240001770,370982195312251563,C574
46152,140002062,610204193104263301,N168
92577,140002062,14112419730426660X,N168
64590,140002062,520524199508052997,N168
6240,140002062,510725196812237146,N168
23829,140002062,431003198010186360,N168
46152,940000703,610204193104263301,G024
13137,940000703,411221197403200640,G024
22201,940000703,150725197003104375,G024
95775,940000703,621126199502046495,G024
38139,940000703,511381194806179059,G024
46152,340000824,610204193104263301,L532
48734,340000824,430405196409204748,L532
27377,340000824,130000197711098405,L532
58755,340000824,37162519810327740X,L532
58857,340000824,610621196110030936,L532
46152,840001050,610204193104263301,E985
69778,840001050,419001196511218043,E985
25737,840001050,620700196603071360,E985
43293,840001050,451381197209087575,E985
59246,840001050,460200197104178347,E985
663,240001084,331022193107044070,G765
54168,240001084,22038219910614994X,G765
73000,240001084,140301193502277737,G765
41071,240001084,222406193102140730,G765
32018,240001084,620901198410061445,G765
663,940001148,331022193107044070,Y410
41473,940001148,430201196205045689,Y410
68333,940001148,340521197009113263,Y410
35960,940001148,130682197708067381,Y410
15376,940001148,130929197906219328,Y410
663,840002516,331022193107044070,E927
16981,840002516,52272919360802646X,E927
18079,840002516,140624194610198054,E927
86309,840002516,429005195311176806,E927
52287,840002516,610304195401051318,E927
663,340002573,331022193107044070,L846
73116,340002573,469027195901042619,L846
72936,340002573,210202199307292671,L846
45538,340002573,520525199607162282,L846
95729,340002573,141031193409207112,L846
663,240000942,331022193107044070,R972
85575,240000942,520501196712173691,R972
42965,240000942,210204195505308472,R972
31865,240000942,469002195006175792,R972
17842,240000942,341621195711258670,R972
57123,540006055,440500195012252355,C520
11159,540006055,42020419860201791X,C520
73079,540006055,211281197604263495,C520
21163,540006055,420202199905205709,C520
99732,540006055,150201196605251126,C520
57123,540004118,440500195012252355,Y687
63685,540004118,230828194209022632,Y687
59815,540004118,611025196510170501,Y687
7443,540004118,341023196405192268,Y687
29244,540004118,360981197909271912,Y687
