start_jid,end_jid,sfzh,hbh
855,20000846,420112199011087608,MU473
4389,20000846,230811194109173030,MU473
6026,20000846,621227198207293650,MU473
8760,20000846,340603195006042803,MU473
472,20000846,13092819920506221X,MU473
2518,20000846,230208199801124982,MU473
2779,20000846,331101196212165859,MU473
6561,20000846,431201193507138298,MU473
4366,20000846,654000195804085001,MU473
477,20000846,630103194401033461,MU473
1168,20000846,371324198407316591,MU473
1733,20000846,510800197804214289,MU473
2346,20005761,360982197111037226,CZ662
9906,20005761,140802199104065668,CZ662
2314,20005761,130826194503038604,CZ662
8747,20005761,411526198706047340,CZ662
6202,20005761,130104196311155497,CZ662
2197,20000724,54242119541008108X,CZ930
3324,20000724,410821196403049132,CZ930
6500,20000724,320311193111168775,CZ930
5075,20000724,150221195906224501,CZ930
9304,20000724,540233194009253787,CZ930
902,20000724,141122196507187082,CZ930
2292,20000724,530522197306111901,CZ930
4366,20000724,654000195804085001,CZ930
911,20000724,621027197004237469,CZ930
5234,20000724,440103196911225248,CZ930
2197,20006809,54242119541008108X,MU610
1206,20006809,431222193509148117,MU610
9751,20006809,230223196209228889,MU610
9686,20006809,650102199906133767,MU610
7163,20006809,360728193712067802,MU610
2197,20005320,54242119541008108X,MU172
40,20005320,450481197308218563,MU172
2035,20005320,141082193701107071,MU172
1048,20005320,340405195904105943,MU172
8734,20005320,23070019331022219X,MU172
2197,20006074,54242119541008108X,TV786
988,20006074,530924196101205701,TV786
939,20006074,410621196404038442,TV786
7631,20006074,410704198209023091,TV786
9070,20004770,440983194506049849,MF248
2182,20004770,230304197305255255,MF248
4991,20004770,131023195711010908,MF248
1754,20004770,361027194207182077,MF248
8086,20004770,130681196201036614,MF248
9070,20006791,440983194506049849,MF985
4081,20006791,500233193405206841,MF985
142,20006791,410926197912084026,MF985
9104,20006791,451324197507305924,MF985
3390,20006791,34150119990325687X,MF985
9070,20006990,440983194506049849,MU248
7200,20006990,610113198112128314,MU248
8887,20006990,522726196210170669,MU248
2626,20006990,340200197703122399,MU248
8206,20006990,530701198804185288,MU248
9070,20005669,440983194506049849,CZ092
1066,20005669,621202199909109392,CZ092
7125,20005669,610802196402104927,CZ092
4724,20005669,530829194702208235,CZ092
3610,20005669,610528193705226896,CZ092
9070,20000190,440983194506049849,CJ377
8212,20000190,230223194206256404,CJ377
5417,20000190,230715200104081346,CJ377
7700,20000190,211223194212313492,CJ377
5008,20000190,450502196005251257,CJ377
2902,20009108,52262819780508311X,MU053
8763,20009108,520621196609101180,MU053
2207,20009108,51162119730618770X,MU053
5383,20009108,441223199408114079,MU053
6411,20009108,410727197302074475,MU053
2902,20004201,52262819780508311X,TV534
341,20004201,371325198801078743,TV534
7114,20004201,430800198103150491,TV534
956,20004201,410401195504031984,TV534
764,20004201,110229199605191509,TV534
2902,20007041,52262819780508311X,MF514
4222,20007041,510603199601254106,MF514
1776,20007041,360521198411162811,MF514
2451,20007041,32128119970211528X,MF514
1059,20007041,131122197609244626,MF514
2902,20009731,52262819780508311X,CJ718
2905,20009731,52263319700212568X,CJ718
7296,20009731,540122196507052931,CJ718
5316,20009731,51150319960719973X,CJ718
2171,20009731,440515198811240543,CJ718
2902,20005163,52262819780508311X,MU399
1450,20005163,410108197503180328,MU399
3902,20005163,331003197808305455,MU399
8397,20005163,330381195906145163,MU399
7906,20005163,64040219331011962X,MU399
9268,20000756,210321195605319402,CJ729
598,20000756,511524196205224785,CJ729
7992,20000756,320302196312054309,CJ729
9214,20000756,371400193603022314,CJ729
8734,20000756,23070019331022219X,CJ729
9268,20002791,210321195605319402,MU337
8262,20002791,441481194305236462,MU337
6462,20002791,340404193402098135,MU337
8159,20002791,350205198711232107,MU337
4216,20002791,532504195810122343,MU337
9268,20001275,210321195605319402,CJ530
4603,20001275,350426200106309420,CJ530
8301,20001275,431201199706140515,CJ530
2226,20001275,513336193602065362,CJ530
9096,20001275,411327196806105778,CJ530
9268,20001316,210321195605319402,MF247
1512,20001316,371311197310041388,MF247
5013,20001316,371327199904149900,MF247
2334,20001316,512002194504136028,MF247
1240,20001316,42090019920721315X,MF247
9268,20004695,210321195605319402,3U996
2056,20004695,360122193412168299,3U996
6660,20004695,620502195909173981,3U996
2661,20004695,500114199802176255,3U996
4690,20004695,430603199703244304,3U996
9478,20008164,370303196102164484,CZ690
5996,20008164,410503199910045149,CZ690
4464,20008164,421125194603200125,CZ690
5788,20008164,420701197812193974,CZ690
9515,20008164,350500196812151256,CZ690
9478,20000252,370303196102164484,MU877
235,20000252,513321195811267977,MU877
5939,20000252,360200196205187092,MU877
4863,20000252,230223195702040068,MU877
6213,20000252,511401193107037376,MU877
9478,20009659,370303196102164484,TV926
5043,20009659,500238195506088611,TV926
9632,20009659,51333419571218369X,TV926
253,20009659,422826198409277392,TV926
4010,20009659,130208197703207546,TV926
9478,20004051,370303196102164484,CA828
4081,20004051,500233193405206841,CA828
8006,20004051,511425197601146024,CA828
6982,20004051,141027195804086781,CA828
3371,20004051,420581196906230808,CA828
9478,20001107,370303196102164484,MF092
6142,20001107,440401193107177871,MF092
996,20001107,330522195206022315,MF092
7356,20001107,360425193611059306,MF092
4366,20001107,654000195804085001,MF092
8488,20003085,150302195205240775,CA962
7767,20003085,530924198206306436,CA962
5522,20003085,440781195506057938,CA962
9221,20003085,520103198210271259,CA962
5540,20003085,130701195709150556,CA962
8488,20002427,150302195205240775,MU736
7561,20002427,220500198208160068,MU736
6956,20002427,341622194311025773,MU736
5043,20002427,500238195506088611,MU736
4436,20002427,230223196705176985,MU736
9952,20002427,230101198404052810,MU736
9492,20002427,64010119950223781X,MU736
1782,20002427,451122193104182227,MU736
1559,20002427,410101197402245239,MU736
4688,20002427,130701196112311956,MU736
8488,20001157,150302195205240775,CZ354
971,20001157,450109195311261769,CZ354
3032,20001157,450201194002140023,CZ354
2139,20001157,451225195606300960,CZ354
7019,20001157,152527195603171605,CZ354
8488,20009132,150302195205240775,3U189
2011,20009132,43122719730501730X,3U189
2419,20009132,130524195211051861,3U189
3723,20009132,421087196006248158,3U189
8427,20009132,632525200007223398,3U189
8488,20000591,150302195205240775,CJ866
5718,20000591,611023197105301602,CJ866
4266,20000591,440106193602114582,CJ866
9523,20000591,441500197102029368,CJ866
3892,20000591,37028219800324447X,CJ866
2437,20004082,140222195707109222,TV838
796,20004082,110112194903234946,TV838
3425,20004082,460205199408247007,TV838
9895,20004082,350182196507144693,TV838
2868,20004082,520600195611025272,TV838
5124,20004082,429004198205282848,TV838
2303,20004082,510821197909239097,TV838
6620,20004082,451000197907286139,TV838
956,20004082,410401195504031984,TV838
5017,20004082,62090119970106769X,TV838
2437,20002247,140222195707109222,MF254
7697,20002247,150200197701277949,MF254
9050,20002247,370285195402066645,MF254
6620,20002247,451000197907286139,MF254
340,20002247,650103199205015828,MF254
2437,20004054,140222195707109222,CZ599
4099,20004054,340701193607275059,CZ599
1359,20004054,511827198005117154,CZ599
5975,20004054,211081195809267940,CZ599
730,20004054,520301194305278816,CZ599
2437,20006798,140222195707109222,TV922
6793,20006798,520221198708125476,TV922
5108,20006798,430725195710269804,TV922
1393,20006798,420582197903183584,TV922
487,20006798,441781195003277390,TV922
1255,20000798,659001197010069800,CA533
6264,20000798,610602193107263541,CA533
7753,20000798,152530198806079624,CA533
8700,20000798,371524199706086584,CA533
4864,20000798,321203198207281770,CA533
1255,20001690,659001197010069800,TV161
5944,20001690,150725193204053342,TV161
3527,20001690,341522197401082710,TV161
3518,20001690,370684198401010489,TV161
2349,20001690,451025195806263390,TV161
1255,20000290,659001197010069800,3U916
1932,20000290,321282197609212824,3U916
6763,20000290,410327193503306172,3U916
5587,20000290,430703193110161034,3U916
3655,20000290,411422193108282902,3U916
1255,20001413,659001197010069800,CA972
3839,20001413,230407194703039751,CA972
6360,20001413,350581196601135246,CA972
3680,20001413,542123199812023119,CA972
7777,20001413,330681198305097987,CA972
8933,20001413,420103197105198338,CA972
6543,20001413,513400199107096344,CA972
8065,20001413,513427199110226488,CA972
3189,20001413,510400197401199051,CA972
4864,20001413,321203198207281770,CA972
1255,20006482,659001197010069800,3U523
6661,20006482,441700194910180485,3U523
946,20006482,450201196307301384,3U523
9938,20006482,370812197010252784,3U523
9786,20006482,130683199806225035,3U523
9871,20006482,370323194309186046,3U523
7354,20006482,41162719580129003X,3U523
9523,20006482,441500197102029368,3U523
9240,20006482,610929193802217041,3U523
2221,20006482,520303199405015736,3U523
4024,20007073,370282197703271677,CJ246
499,20007073,43052219580215780X,CJ246
1627,20007073,520101194511048076,CJ246
641,20007073,530829199301145926,CJ246
1650,20007073,411521194509309778,CJ246
4024,20001189,370282197703271677,TV925
1953,20001189,51102819500323812X,TV925
9829,20001189,522730196703234020,TV925
6903,20001189,230184195803043302,TV925
80,20001189,510727198607170298,TV925
1097,20001189,610721198202197471,TV925
5498,20001189,610116197805035705,TV925
7854,20001189,652825200103051135,TV925
1493,20001189,150525193207083271,TV925
7957,20001189,36010119901010815X,TV925
4024,20003207,370282197703271677,TV026
3622,20003207,110000193305157500,TV026
7613,20003207,230422197106052744,TV026
1896,20003207,522630196004284883,TV026
2648,20003207,511025193705155451,TV026
4024,20008391,370282197703271677,MF096
1844,20008391,320201197106217202,MF096
4364,20008391,140825199409266094,MF096
6706,20008391,420921193407212527,MF096
6311,20008391,51322619751226830X,MF096
4024,20004658,370282197703271677,MF840
2062,20004658,341501198410238214,MF840
5681,20004658,120221198411114472,MF840
8109,20004658,520203193605272638,MF840
3600,20004658,520100198107247833,MF840
6529,20004658,350623193709092442,MF840
4407,20004658,231100196908308838,MF840
5532,20004658,410883195406022933,MF840
1054,20004658,500109196804122096,MF840
3612,20004658,350982193711140542,MF840
2596,20004658,410711198111103943,MF840
610,20004658,410501194805092351,MF840
363,20004658,522627194409205605,MF840
2787,20004658,445301199907079651,MF840
5779,20004658,450921199501265812,MF840
3924,20001704,210804198512132491,MF856
7178,20001704,340104194104060794,MF856
8845,20001704,410183194511273686,MF856
5223,20001704,210000193005083064,MF856
1613,20001704,350302195910211758,MF856
7673,20001704,610431198602180026,MF856
6739,20001704,430408199105118173,MF856
2187,20001704,450500200002253464,MF856
4747,20001704,371400196806126635,MF856
8139,20001704,533300194207247926,MF856
3924,20005373,210804198512132491,TV030
5268,20005373,510623194602053616,TV030
454,20005373,411104194505060049,TV030
7194,20005373,140621197103204901,TV030
2606,20005373,331126195709288793,TV030
38,20005373,130105197010259357,TV030
9543,20005373,511600199203294649,TV030
6313,20005373,522701193312118772,TV030
3932,20005373,330110195501094525,TV030
1718,20005373,340403199709071165,TV030
3924,20006369,210804198512132491,CZ564
4137,20006369,540202197103108657,CZ564
9489,20006369,370686196805267989,CZ564
112,20006369,530101197201301633,CZ564
2654,20006369,450405200010053530,CZ564
3924,20006681,210804198512132491,CJ311
7918,20006681,41160119840301323X,CJ311
6192,20006681,450981193704107696,CJ311
8786,20006681,211002194508053965,CJ311
4944,20006681,451021193004022582,CJ311
5599,20006681,410329197205037630,CJ311
955,20006681,340400195704084664,CJ311
6903,20006681,230184195803043302,CJ311
854,20006681,620602196001220178,CJ311
1640,20006681,230822197810117224,CJ311
2779,20006681,331101196212165859,CJ311
6451,20006681,130727199810185149,CJ311
5316,20006681,51150319960719973X,CJ311
3178,20006681,370105200012127277,CJ311
3230,20006681,320117199004210047,CJ311
3924,20005683,210804198512132491,3U855
4137,20005683,540202197103108657,3U855
2871,20005683,430223196506048013,3U855
1480,20005683,440233199606114784,3U855
3178,20005683,370105200012127277,3U855
2835,20000012,15050119410829750X,TV122
6194,20000012,14118119490604117X,TV122
5873,20000012,350782193804058846,TV122
1730,20000012,441426194806159384,TV122
7909,20000012,411524198212222177,TV122
2835,20003356,15050119410829750X,CZ739
9586,20003356,451324195106147428,CZ739
2250,20003356,533325196902162832,CZ739
2522,20003356,210922194010252565,CZ739
4210,20003356,130203199203236794,CZ739
9477,20003356,410804194408010880,CZ739
6005,20003356,440233193503035832,CZ739
7301,20003356,21028119730613626X,CZ739
3624,20003356,510184197702229112,CZ739
273,20003356,140827193209121486,CZ739
2835,20005062,15050119410829750X,MF103
761,20005062,370801198104210345,MF103
837,20005062,350600199311079291,MF103
3323,20005062,310109193505194189,MF103
7700,20005062,211223194212313492,MF103
2835,20003349,15050119410829750X,MU644
5681,20003349,120221198411114472,MU644
6331,20003349,542523199803271673,MU644
1650,20003349,411521194509309778,MU644
2449,20003349,41150219850412356X,MU644
967,20003349,14082119451020413X,MU644
3076,20003349,450305198807044492,MU644
2988,20003349,460106198401160466,MU644
4635,20003349,120114195408292742,MU644
392,20003349,431321198607199200,MU644
4543,20008284,210111197805224032,MF171
7846,20008284,632621199608106482,MF171
6661,20008284,441700194910180485,MF171
3213,20008284,420607195307162441,MF171
5273,20008284,110000197310050132,MF171
9020,20008284,210113198510102131,MF171
1783,20008284,15252719660606210X,MF171
3273,20008284,130132199711093706,MF171
5715,20008284,361029194703280816,MF171
6936,20008284,310114195706114106,MF171
4543,20003970,210111197805224032,3U496
1633,20003970,420921200111209831,3U496
8120,20003970,421303198706188684,3U496
5225,20003970,210211196805226688,3U496
4512,20003970,410211197001106674,3U496
4543,20004436,210111197805224032,CA826
4841,20004436,530128197012121959,CA826
1250,20004436,421381199312080666,CA826
8864,20004436,13102419640727466X,CA826
5015,20004436,411721196705120657,CA826
4543,20004343,210111197805224032,CJ380
9217,20004343,410225196405144822,CJ380
1252,20004343,131100198202031609,CJ380
8940,20004343,610116196810194626,CJ380
1320,20004343,520422198605050026,CJ380
4543,20007383,210111197805224032,CJ279
7200,20007383,610113198112128314,CJ279
3323,20007383,310109193505194189,CJ279
8130,20007383,33018519850520591X,CJ279
8989,20007383,441823198710014720,CJ279
6317,20007383,14082419601223350X,CJ279
7128,20007383,51142319490104340X,CJ279
3619,20007383,141126193208279675,CJ279
3537,20007383,520422196809219509,CJ279
5417,20007383,230715200104081346,CJ279
5682,20006564,431024198411160008,MF529
2272,20006564,511525193909276826,MF529
9550,20006564,450300195402239288,MF529
4614,20006564,510304193902276010,MF529
5682,20001365,431024198411160008,3U588
7584,20001365,654201199104066921,3U588
5506,20001365,542400197003271377,3U588
5056,20001365,420103197907310715,3U588
327,20001365,520303193602211843,3U588
5682,20006471,431024198411160008,TV602
4906,20006471,340701197611023397,TV602
7797,20006471,53012919340113935X,TV602
5820,20006471,152524199205044693,TV602
825,20006471,410205198403300274,TV602
668,20006471,430400198211219132,TV602
7424,20006471,530421199908111017,TV602
1643,20006471,232723194503205063,TV602
4952,20006471,450327199901273374,TV602
770,20006471,431300199105243702,TV602
5682,20007566,431024198411160008,CZ797
2212,20007566,130322196810306660,CZ797
9440,20007566,230227194001305597,CZ797
1874,20007566,540223196909210738,CZ797
4805,20007566,654002197806105645,CZ797
6142,20007566,440401193107177871,CZ797
2182,20007566,230304197305255255,CZ797
1387,20007566,321202195907312742,CZ797
4598,20007566,320114199707085802,CZ797
2988,20007566,460106198401160466,CZ797
3876,20007566,620401196608034649,CZ797
7235,20007566,230112194308145823,CZ797
770,20007566,431300199105243702,CZ797
7855,20007566,360721195010175360,CZ797
9694,20007566,450701196807296179,CZ797
2788,20006610,522324196401170958,CJ794
6472,20006610,450101200011161945,CJ794
9355,20006610,361102198212251627,CJ794
1703,20006610,371300193208196407,CJ794
5392,20006610,37140119970208766X,CJ794
4402,20006610,652301198806134529,CJ794
8509,20006610,350602197906126927,CJ794
3877,20006610,532922198811163188,CJ794
5946,20006610,513428197101255153,CJ794
5170,20006610,331102198609078281,CJ794
2788,20003242,522324196401170958,CZ363
5025,20003242,310114199511123078,CZ363
6408,20003242,370402194709064666,CZ363
9263,20003242,512000199012080742,CZ363
6597,20003242,500113199804133260,CZ363
2788,20001430,522324196401170958,CA599
796,20001430,110112194903234946,CA599
7146,20001430,150104195912148734,CA599
9585,20001430,230307197502152756,CA599
6008,20001430,330402194502247855,CA599
2788,20006663,522324196401170958,MF008
755,20006663,522600198803305274,MF008
2688,20006663,520121195507234298,MF008
4089,20006663,420624198204125648,MF008
7201,20006663,330101197908145614,MF008
5888,20006663,411503194106089202,MF008
4558,20006663,622923200110206657,MF008
8295,20006663,370214199708098933,MF008
6426,20006663,350626197809016372,MF008
6936,20006663,310114195706114106,MF008
2788,20001531,522324196401170958,CA276
8821,20001531,511528194512223260,CA276
131,20001531,410501193602267129,CA276
2959,20001531,36062219980810427X,CA276
1939,20001531,411100197505297132,CA276
8924,20005336,130303199904111201,CZ055
1229,20005336,21052119791021552X,CZ055
4174,20005336,34050619680206151X,CZ055
56,20005336,371601199409215264,CZ055
6746,20005336,131128197102170523,CZ055
8924,20006998,130303199904111201,TV520
9682,20006998,621225194708256267,TV520
7452,20006998,321311199312254395,TV520
6476,20006998,520621194710312995,TV520
6026,20006998,621227198207293650,TV520
3817,20006998,520101198208283573,TV520
5383,20006998,441223199408114079,TV520
9354,20006998,140423194909129531,TV520
3524,20006998,430602199907052957,TV520
6123,20006998,632521195307290569,TV520
8924,20003301,130303199904111201,3U013
5402,20003301,130800198502101493,3U013
2490,20003301,542200193703177323,3U013
5057,20003301,150601197402282965,3U013
3647,20003301,430600197306060706,3U013
8924,20001351,130303199904111201,MF100
7258,20001351,320600193808299510,MF100
14,20001351,370101196701223104,MF100
2855,20001351,361002193610265540,MF100
6180,20001351,430426197710280746,MF100
8924,20007542,130303199904111201,MU153
832,20007542,640100193801091669,MU153
5613,20007542,53252319460721073X,MU153
6111,20007542,511303194006069020,MU153
1206,20007542,431222193509148117,MU153
2217,20004364,220523200107152506,3U988
414,20004364,130202196512178209,3U988
4515,20004364,451031194503181278,3U988
6194,20004364,14118119490604117X,3U988
7252,20004364,440232199708167442,3U988
2217,20007520,220523200107152506,MU124
9196,20007520,450602193909050097,MU124
6723,20007520,360000194112183500,MU124
8326,20007520,440783199108183307,MU124
9570,20007520,370681197510210582,MU124
4067,20007520,450107194205125088,MU124
9263,20007520,512000199012080742,MU124
5183,20007520,43040719700329041X,MU124
8641,20007520,510181196611241489,MU124
8061,20007520,152530193207117227,MU124
2217,20005868,220523200107152506,CA292
7649,20005868,231226198006270074,CA292
6394,20005868,130981198608172779,CA292
4994,20005868,340302193108105244,CA292
6452,20005868,451229197407243427,CA292
2217,20006895,220523200107152506,CZ757
5205,20006895,610582194411031789,CZ757
882,20006895,371402197801078918,CZ757
3592,20006895,53012919860425385X,CZ757
8700,20006895,371524199706086584,CZ757
2217,20008825,220523200107152506,MF160
4944,20008825,451021193004022582,MF160
7501,20008825,450923196910290145,MF160
534,20008825,623000195912044091,MF160
2171,20008825,440515198811240543,MF160
9705,20004833,370302198802176796,TV533
6018,20004833,130503199806178649,TV533
1229,20004833,21052119791021552X,TV533
7258,20004833,320600193808299510,TV533
996,20004833,330522195206022315,TV533
7339,20004833,610126196509234732,TV533
2228,20004833,140301199902140518,TV533
6699,20004833,320700198003082566,TV533
2146,20004833,440232195408267013,TV533
8061,20004833,152530193207117227,TV533
9705,20002530,370302198802176796,TV143
4222,20002530,510603199601254106,TV143
9428,20002530,331100193008061235,TV143
6311,20002530,51322619751226830X,TV143
4493,20002530,51323219960106548X,TV143
9705,20005206,370302198802176796,3U122
9026,20005206,43312319591111622X,3U122
5883,20005206,511603195709203055,3U122
145,20005206,632300199008044574,3U122
3120,20005206,130630200003216824,3U122
9705,20006327,370302198802176796,CJ264
2807,20006327,320206195911305427,CJ264
7381,20006327,510124196108151411,CJ264
6386,20006327,340122193806076473,CJ264
8171,20006327,441427194204261484,CJ264
9705,20001020,370302198802176796,CA327
3927,20001020,441481194011281188,CA327
4293,20001020,654224194311176156,CA327
5543,20001020,211204193903202288,CA327
2627,20001020,610601198701064875,CA327
4545,20002616,370784196905031722,CA443
2099,20002616,511523199502245758,CA443
5966,20002616,511501194306013916,CA443
7537,20002616,422802196006010474,CA443
6008,20002616,330402194502247855,CA443
4545,20001622,370784196905031722,TV556
4910,20001622,140201198905175732,TV556
3200,20001622,469005194505221460,TV556
2447,20001622,152223193406269733,TV556
2131,20001622,532500197202275411,TV556
4545,20002651,370784196905031722,3U310
7170,20002651,429000193603192145,3U310
7289,20002651,510923194012030824,3U310
4363,20002651,451227196903027152,3U310
9110,20002651,520626198604211664,3U310
4545,20003517,370784196905031722,CA412
1359,20003517,511827198005117154,CA412
5505,20003517,140824196207099937,CA412
4598,20003517,320114199707085802,CA412
5714,20003517,371302199201109788,CA412
4545,20004107,370784196905031722,CZ880
1206,20004107,431222193509148117,CZ880
743,20004107,140701195607237556,CZ880
3614,20004107,420504193501192464,CZ880
1230,20004107,150802193109280206,CZ880
1271,20006509,640000197509140331,MU176
7591,20006509,430702195906135256,MU176
5346,20006509,220621198008199109,MU176
1384,20006509,520115200012022679,MU176
7497,20006509,220623196011212611,MU176
1271,20008441,640000197509140331,CJ281
8879,20008441,120101194603273831,CJ281
6234,20008441,632321199411079189,CJ281
9655,20008441,370213198006011636,CJ281
691,20008441,620825199602265522,CJ281
1271,20002960,640000197509140331,MU409
2799,20002960,37132419530410164X,MU409
1139,20002960,411501198610239092,MU409
4330,20002960,370901193211068383,MU409
1813,20002960,652301199401309911,MU409
4573,20002960,610626197203046183,MU409
3198,20002960,331004199704231995,MU409
5183,20002960,43040719700329041X,MU409
2748,20002960,110107198309019618,MU409
3672,20002960,440306197206035160,MU409
1271,20003883,640000197509140331,MU207
4462,20003883,220203196408034756,MU207
6192,20003883,450981193704107696,MU207
8949,20003883,620104199011052875,MU207
8021,20003883,511700198711221340,MU207
7203,20003883,450126197403198627,MU207
1750,20003883,340401195104110642,MU207
2068,20003883,350603194803049212,MU207
2021,20003883,54023519321008686X,MU207
2684,20003883,331001200007065764,MU207
8319,20003883,623001199005181337,MU207
2802,20003883,430407200004040193,MU207
6325,20003883,341103198404118209,MU207
8185,20003883,621002196901299270,MU207
6267,20003883,150523198707191404,MU207
1271,20006684,640000197509140331,CA834
6783,20006684,513224197507225580,CA834
4094,20006684,340404200003138366,CA834
157,20006684,410926196908208044,CA834
4162,20006684,420104199205104891,CA834
5653,20003346,330182198911270902,CA255
1097,20003346,610721198202197471,CA255
7908,20003346,130428200104267169,CA255
5587,20003346,430703193110161034,CA255
43,20003346,350401197803015506,CA255
5653,20007409,330182198911270902,CZ396
228,20007409,411221193810168571,CZ396
6857,20007409,542126193804234153,CZ396
7591,20007409,430702195906135256,CZ396
5231,20007409,411025199506255699,CZ396
5833,20007409,120112198810162437,CZ396
5435,20007409,610481197607114182,CZ396
4493,20007409,51323219960106548X,CZ396
6066,20007409,21050119580920504X,CZ396
8561,20007409,430581199010085236,CZ396
5653,20001957,330182198911270902,TV947
1366,20001957,430300196611026204,TV947
1387,20001957,321202195907312742,TV947
7704,20001957,36082719950724970X,TV947
2988,20001957,460106198401160466,TV947
5653,20003423,330182198911270902,MU459
3470,20003423,320117199505063575,MU459
9436,20003423,14022219331010415X,MU459
8841,20003423,522301196611029480,MU459
3335,20003423,370300197005288245,MU459
5653,20002147,330182198911270902,MF998
5599,20002147,410329197205037630,MF998
5893,20002147,42020119471022429X,MF998
9059,20002147,150626195709178941,MF998
1659,20002147,210711196005218150,MF998
9639,20009511,350625193508100963,3U567
7190,20009511,610528197707278604,3U567
436,20009511,420682194105066449,3U567
7642,20009511,230711195111231366,3U567
3560,20009511,44130019770519517X,3U567
9639,20000091,350625193508100963,TV414
8961,20000091,11011619451228655X,TV414
7371,20000091,630122195303144786,TV414
2035,20000091,141082193701107071,TV414
3831,20000091,130705199102039548,TV414
9639,20008388,350625193508100963,TV820
3790,20008388,340203197108139865,TV820
6174,20008388,23050119640523503X,TV820
7009,20008388,652201194511276139,TV820
8249,20008388,310117199502156854,TV820
9639,20000334,350625193508100963,MF806
8725,20000334,350628198904132715,MF806
9142,20000334,230521196305075126,MF806
870,20000334,621000195906249080,MF806
7633,20000334,340403193911236472,MF806
9639,20006274,350625193508100963,CZ663
2388,20006274,211103198710156650,CZ663
1089,20006274,320902195108059880,CZ663
3835,20006274,130200195609178371,CZ663
7274,20006274,640424197010070314,CZ663
9759,20009017,430102196004117333,TV751
3980,20009017,640106194206147317,TV751
7673,20009017,610431198602180026,TV751
6114,20009017,230700197503088466,TV751
7903,20009017,350702198311030010,TV751
9759,20009677,430102196004117333,MU437
7909,20009677,411524198212222177,MU437
5345,20009677,371581199707190137,MU437
8295,20009677,370214199708098933,MU437
9018,20009677,632626199101309047,MU437
