jid,phone,province,city
10000067,13948586542,山西省,北镇县
10000068,13196318097,青海省,飞市
10000069,15669367718,内蒙古自治区,建平市
10000070,18061280003,山东省,超县
10000071,13827314707,广西壮族自治区,丹市
10000072,13472581755,安徽省,玉梅市
10000073,18236980472,湖南省,成都县
10000074,15645046139,香港特别行政区,马鞍山市
10000075,15255951452,重庆市,淑珍市
10000076,14705611060,天津市,龙市
10000077,13978845090,陕西省,雪梅县
10000078,13178567696,宁夏回族自治区,桂芳市
10000079,15339257322,甘肃省,志强市
10000080,13284365696,贵州省,深圳市
10000081,18257516684,甘肃省,马鞍山县
10000082,13547295969,台湾省,南宁县
10000083,15242009081,上海市,秀华县
10000084,13513485142,广东省,海门市
10000085,13768790250,北京市,成都市
10000086,18282096815,湖北省,重庆县
10000087,15836861848,江苏省,荣县
10000088,15225623785,吉林省,辛集县
10000089,13000376740,上海市,兰州县
10000090,13548436585,湖北省,桂兰市
10000091,13072892899,湖南省,桂香县
10000092,13195934562,澳门特别行政区,丽县
10000093,13075791162,宁夏回族自治区,通辽县
10000094,14751032176,浙江省,佛山县
10000095,18921480497,北京市,张家港县
10000096,13923367672,香港特别行政区,太原县
10000097,13879167960,安徽省,建县
10000098,15632110160,海南省,涛市
10000099,13943146975,辽宁省,沈阳县
10000100,15133863048,新疆维吾尔自治区,福州县
10000101,18556814021,河南省,娟市
10000102,15078713879,青海省,沈阳县
10000103,13222340995,江苏省,天津市
10000104,15833690016,安徽省,宁德县
10000105,18134779424,内蒙古自治区,大冶县
10000106,13058529160,海南省,龙县
10000107,14536101696,西藏自治区,鑫市
10000108,15382045041,安徽省,济南县
10000109,15877548403,澳门特别行政区,海燕市
10000110,13540905712,浙江省,欣市
10000111,13656986267,河南省,永安市
10000112,13520636022,山西省,柳州市
10000113,13089276054,上海市,广州市
10000114,15786913127,宁夏回族自治区,丹市
10000115,15961126274,重庆市,宁市
10000116,18917237160,山西省,莹县
10000117,15127937880,黑龙江省,长春县
10000118,13191399837,台湾省,秀英县
10000119,14580342440,江苏省,婷婷县
10000120,15298235284,广西壮族自治区,南宁市
10000121,15312644341,黑龙江省,兴城市
10000122,15208522630,台湾省,秀云县
10000123,15681424695,河南省,晶市
10000124,13984125462,海南省,汕尾市
10000125,18890228277,湖北省,佳市
10000126,15619273343,四川省,福州县
10000127,15571796745,天津市,澳门市
10000128,13410138828,四川省,沈阳市
10000129,13925081777,湖北省,荆门县
10000130,15534893479,湖北省,邯郸县
10000131,15106595422,西藏自治区,丹县
10000132,15105043650,云南省,建华市
10000133,13101163418,广西壮族自治区,兰英县
10000134,15565247048,香港特别行政区,建华县
10000135,13898250472,四川省,成都县
10000136,13974955006,香港特别行政区,巢湖市
10000137,18878519900,澳门特别行政区,波县
10000138,14508045874,台湾省,北镇县
10000139,18154547281,上海市,秀芳县
10000140,18670441794,浙江省,兴安盟县
10000141,15203745727,山东省,玉县
10000142,13244978495,江苏省,琳县
10000143,18950663978,山西省,春梅县
10000144,13674585666,广西壮族自治区,洋县
10000145,13901906271,天津市,海燕市
10000146,15529923474,黑龙江省,福州市
10000147,18639599913,云南省,红霞市
10000148,15795842991,山东省,永安市
10000149,13288837022,吉林省,张家港县
10000150,18191189169,西藏自治区,辽阳县
10000151,13135103212,辽宁省,小红县
10000152,18765517751,广东省,哈尔滨县
10000153,15882536807,山东省,六盘水县
10000154,15089803095,广西壮族自治区,冬梅县
10000155,13372316273,澳门特别行政区,太原市
10000156,13599450158,台湾省,红县
10000157,18985238396,江西省,旭市
10000158,15713731022,甘肃省,宁市
10000159,15821279754,上海市,霞市
10000160,18530189771,黑龙江省,辛集县
10000161,13948852900,辽宁省,南昌县
10000162,15973173152,四川省,六安县
10000163,13201477069,浙江省,秀兰市
10000164,18966085818,河北省,莹市
10000165,13788013252,山东省,六盘水县
10000166,18859777650,吉林省,秀芳市
10000167,18022220244,西藏自治区,鹏市
10000168,15887006363,湖南省,银川市
10000169,15595840281,湖南省,鹏县
10000170,15591338984,浙江省,关岭市
10000171,14587688971,新疆维吾尔自治区,桂珍市
10000172,18105816986,福建省,六盘水县
10000173,15735721189,江苏省,兴安盟市
10000174,18164796849,吉林省,桂英市
10000175,13042812736,四川省,宜都市
10000176,18859876384,甘肃省,哈尔滨市
10000177,13659479415,湖北省,柳县
10000178,14543929356,江西省,合肥县
10000179,13051517550,黑龙江省,合肥县
10000180,15153191439,河北省,淑华市
10000181,14521005313,甘肃省,关岭市
10000182,14729022789,青海省,秀荣县
10000183,15890702541,山东省,红县
10000184,18909094098,新疆维吾尔自治区,桂花县
10000185,15028185848,河南省,南京市
10000186,13461609130,天津市,重庆县
10000187,15067399509,四川省,丹县
10000188,15005700692,北京市,佳县
10000189,14755297531,山西省,邯郸县
10000190,13956381795,澳门特别行政区,辛集县
10000191,15370689481,香港特别行政区,坤县
10000192,15788333300,青海省,大冶县
10000193,13700017524,福建省,汕尾市
10000194,18632653439,吉林省,平县
10000195,18935159902,台湾省,长沙县
10000196,18244031114,广西壮族自治区,明市
10000197,18950593086,重庆市,兵市
10000198,13877352914,四川省,梧州县
10000199,14561872029,辽宁省,台北市
10000200,18997614743,云南省,丹市
10000201,13033337176,新疆维吾尔自治区,颖县
10000202,13492558117,湖北省,阜新县
10000203,13871058137,青海省,武汉市
10000204,15557542574,台湾省,上海县
10000205,13583840474,西藏自治区,建华市
10000206,18616538630,宁夏回族自治区,超市
10000207,13874606756,山东省,冬梅县
10000208,15643692402,广西壮族自治区,太原县
10000209,15159260775,四川省,邯郸县
10000210,13511384532,江西省,成都市
10000211,13818948347,湖北省,阳县
10000212,18901188535,黑龙江省,岩县
10000213,15154188167,台湾省,潮州市
10000214,18861927924,天津市,桂芝县
10000215,18076798481,新疆维吾尔自治区,淑珍县
10000216,15314307424,吉林省,云市
10000217,15153959787,澳门特别行政区,桂荣市
10000218,18662591461,新疆维吾尔自治区,台北县
10000219,15262789519,湖南省,杨县
10000220,13454419594,云南省,拉萨县
10000221,18184942768,河北省,玉华市
10000222,15925382327,内蒙古自治区,六盘水县
10000223,18136452702,内蒙古自治区,佛山市
10000224,18267460627,香港特别行政区,惠州县
10000225,15955753875,北京市,刚县
10000226,18744097320,澳门特别行政区,济南市
10000227,15201717475,河北省,阳市
10000228,18681274806,广东省,玉华市
10000229,18683123176,黑龙江省,合肥县
10000230,18730954911,甘肃省,马鞍山市
10000231,13830991313,江西省,杨县
10000232,14516644904,青海省,雪市
10000233,18733758752,西藏自治区,飞市
10000234,18748680422,海南省,澳门县
10000235,18199276481,山西省,关岭市
10000236,18870204040,福建省,宇县
10000237,13634592112,广东省,成都县
10000238,15836182135,台湾省,兰英县
10000239,15295188749,广西壮族自治区,林市
10000240,13101052526,广西壮族自治区,健市
10000241,15587856176,河北省,阜新市
10000242,15027327860,河北省,齐齐哈尔市
10000243,18556234669,广西壮族自治区,建市
10000244,15589521230,山东省,淑珍市
10000245,18606853681,浙江省,军县
10000246,13400458926,云南省,娜市
10000247,13384611140,新疆维吾尔自治区,荣市
10000248,18108511376,广东省,哈尔滨县
10000249,15385737470,辽宁省,桂兰县
10000250,13294868404,河北省,北京市
10000251,13069371407,河南省,龙市
10000252,18546283878,四川省,洋市
10000253,13186394379,四川省,玉市
10000254,18967652151,天津市,丽娟市
10000255,13621555096,安徽省,莹市
10000256,18096942151,上海市,涛市
10000257,15350734050,江苏省,天津市
10000258,18563401765,天津市,昆明县
10000259,15196155993,新疆维吾尔自治区,秀芳市
10000260,13351040435,新疆维吾尔自治区,沈阳县
10000261,15639209394,宁夏回族自治区,晶市
10000262,13591513404,吉林省,西宁县
10000263,14504852453,陕西省,兰州市
10000264,15142338371,湖南省,强县
10000265,14501093331,河南省,汕尾县
10000266,15048231215,台湾省,彬县
10000267,13535453075,辽宁省,宁德县
10000268,18613213831,四川省,龙市
10000269,13698015346,天津市,西安市
10000270,13946878692,海南省,香港市
10000271,13257587294,甘肃省,重庆县
10000272,18778022314,北京市,志强县
10000273,14518774663,天津市,利县
10000274,18106221534,浙江省,六安市
10000275,15175623786,西藏自治区,瑞县
10000276,13553608871,福建省,超市
10000277,18119624042,云南省,柳州市
10000278,13063788551,湖北省,丽市
10000279,13141338634,浙江省,乌鲁木齐县
10000280,18121093877,河南省,杭州市
10000281,15873377716,山东省,香港市
10000282,13611588066,天津市,秀云市
10000283,13836975923,陕西省,明市
10000284,18581238149,北京市,秀荣县
10000285,18687366132,台湾省,通辽县
10000286,14790220939,青海省,成都市
10000287,18260567450,云南省,北京市
10000288,18846004187,浙江省,雷县
10000289,13403596439,香港特别行政区,太原县
10000290,15888484619,河南省,潮州县
10000291,13667493421,辽宁省,英市
10000292,13740133068,安徽省,杰市
10000293,18207711093,青海省,洁县
10000294,13637173030,天津市,桂花市
10000295,13204912126,广东省,济南县
10000296,18956073678,贵州省,兴城县
10000297,14560057950,西藏自治区,阳市
10000298,15340734910,宁夏回族自治区,红县
10000299,18850102936,福建省,六安市
10000300,13944091366,辽宁省,通辽县
10000301,15578622461,湖北省,宜都县
10000302,13783260009,湖南省,关岭县
10000303,18736546449,山东省,玉华市
10000304,13998634436,甘肃省,天津市
10000305,15085520048,北京市,合山市
10000306,15936927101,内蒙古自治区,齐齐哈尔县
10000307,15264540980,浙江省,淑华市
10000308,13139981456,浙江省,重庆县
10000309,18531772545,青海省,重庆县
10000310,15825059048,北京市,凤英县
10000311,15541804037,山西省,婷县
10000312,15541020519,湖北省,深圳县
10000313,18799166683,四川省,长春市
10000314,13864813493,湖南省,丹县
10000315,14588116090,吉林省,超县
10000316,15022271283,贵州省,雪梅市
10000317,15519095600,江苏省,关岭市
10000318,18041026210,广东省,哈尔滨县
10000319,18893274777,青海省,桂芝市
10000320,15685734390,吉林省,云县
10000321,15566767943,云南省,合山市
10000322,13739971841,山西省,海口市
10000323,18961996101,澳门特别行政区,丹丹县
10000324,15036087699,澳门特别行政区,荆门县
10000325,18956398117,海南省,东莞市
10000326,18544348284,安徽省,飞市
10000327,18575479108,云南省,汕尾市
10000328,15034183332,辽宁省,福州市
10000329,13617756112,新疆维吾尔自治区,梧州市
10000330,15542296748,安徽省,西安市
10000331,13135494079,重庆市,秀云市
10000332,15838252668,四川省,凤英市
10000333,15112032562,福建省,武汉市
10000334,18749268625,黑龙江省,银川市
10000335,15238271606,新疆维吾尔自治区,成都县
10000336,13003325796,浙江省,秀梅县
10000337,14531378554,西藏自治区,乌鲁木齐市
10000338,14750035779,四川省,呼和浩特县
10000339,13348228582,辽宁省,华市
10000340,13694990792,山东省,福州市
10000341,18028555593,广西壮族自治区,成都县
10000342,18859111788,河北省,建平县
10000343,13242307248,贵州省,欢县
10000344,18629366492,北京市,丽县
10000345,15567210897,陕西省,太原县
10000346,13937633199,海南省,桂芝市
10000347,15265602741,香港特别行政区,红霞县
10000348,13753405328,青海省,海口市
10000349,18123319840,上海市,玲县
10000350,14576193008,江苏省,兵县
10000351,13588710501,重庆市,玉县
10000352,18844247233,海南省,桂英市
10000353,18064854367,西藏自治区,波市
10000354,14757202959,香港特别行政区,兴安盟市
10000355,13855741564,吉林省,英县
10000356,13609074053,天津市,刚市
10000357,13522617539,江苏省,宜都县
10000358,15100146537,福建省,佳市
10000359,13935950578,澳门特别行政区,华市
10000360,13080124077,宁夏回族自治区,萍市
10000361,13029875863,四川省,梅县
10000362,18932639000,湖南省,静县
10000363,15562314318,湖北省,欢县
10000364,18711812447,湖南省,俊市
10000365,18262850355,青海省,岩市
10000366,15162847721,台湾省,拉萨县
10000367,14716808437,上海市,六盘水县
10000368,14783018032,云南省,桂芝县
10000369,15129705696,黑龙江省,红县
10000370,15000638947,广东省,郑州市
10000371,18061241412,湖南省,通辽市
10000372,13975927674,辽宁省,西宁县
10000373,13859942785,浙江省,婷县
10000374,13412989291,重庆市,桂芝县
10000375,14739768014,北京市,秀荣县
10000376,13712643759,香港特别行政区,广州市
10000377,13843902835,广东省,鹏市
10000378,18081796850,北京市,太原县
10000379,15511202731,内蒙古自治区,凤英县
10000380,15229288106,云南省,玉梅县
10000381,15024260356,湖南省,兴安盟县
10000382,15777193655,吉林省,柳州市
10000383,13633377120,广西壮族自治区,亮市
10000384,13394572354,黑龙江省,鹏市
10000385,18021356735,云南省,通辽市
10000386,15578175905,重庆市,洁市
10000387,13180319962,北京市,桂英市
10000388,15666940221,黑龙江省,北镇市
10000389,14746777422,四川省,济南县
10000390,15829369649,甘肃省,浩市
10000391,13047072062,云南省,志强市
10000392,18146945535,湖北省,丽市
10000393,13002588656,澳门特别行政区,福州市
10000394,13686334071,安徽省,桂荣县
10000395,18961277097,四川省,红市
10000396,18048194354,江西省,福州市
10000397,13177876308,西藏自治区,合肥县
10000398,13099945820,广东省,广州县
10000399,13814981842,河北省,军县
10000400,13375220479,山东省,沈阳市
10000401,13763968618,浙江省,宇市
10000402,18230871247,湖南省,拉萨县
10000403,18066500173,天津市,合山县
10000404,18617428528,澳门特别行政区,杭州县
10000405,14778719562,澳门特别行政区,冬梅市
10000406,15267066162,江西省,永安县
10000407,15669001019,西藏自治区,西安市
10000408,15789438764,青海省,林市
10000409,13537052598,山西省,杭州市
10000410,18525251306,湖北省,香港市
10000411,18164915977,山西省,东莞市
10000412,15881177500,安徽省,合肥县
10000413,18231939716,广西壮族自治区,军县
10000414,14763103468,黑龙江省,成都市
10000415,13015286005,福建省,佳县
10000416,13902201445,甘肃省,林市
10000417,18067885591,湖北省,齐齐哈尔市
10000418,18991784573,云南省,乌鲁木齐县
10000419,13366106561,新疆维吾尔自治区,柳县
10000420,18122651066,新疆维吾尔自治区,淑兰县
10000421,14772658997,澳门特别行政区,玉华市
10000422,15194184549,辽宁省,天津市
10000423,15660824771,海南省,荣县
10000424,13082767804,云南省,马鞍山市
10000425,15838789355,山西省,汕尾县
10000426,14728566307,江西省,太原县
10000427,14780975398,黑龙江省,健市
10000428,13546970294,西藏自治区,秀华市
10000429,15940801412,海南省,佳县
10000430,13999188502,广东省,建市
10000431,18993978638,重庆市,长沙县
10000432,13282592418,山西省,广州县
10000433,14556821929,河北省,宁市
10000434,18549826040,香港特别行政区,平县
10000435,14578737731,广西壮族自治区,福州县
10000436,13591220558,西藏自治区,海燕市
10000437,13547610046,新疆维吾尔自治区,娜县
10000438,15779334791,北京市,拉萨县
10000439,18801887554,香港特别行政区,太原县
10000440,15560395408,重庆市,阳市
10000441,15052937066,上海市,林市
10000442,13992247732,重庆市,潮州市
10000443,18770180950,澳门特别行政区,东莞市
10000444,13472868905,江西省,南京县
10000445,18280784422,湖南省,建军县
10000446,13077369970,浙江省,宁德县
10000447,15189984331,江苏省,刚市
10000448,14721266002,广东省,合山县
10000449,13302316354,黑龙江省,超市
10000450,14513555875,福建省,欢市
10000451,13817527584,澳门特别行政区,军县
10000452,15777353994,河南省,淑华县
10000453,15828107614,上海市,齐齐哈尔市
10000454,15761482947,吉林省,秀芳市
10000455,15826801121,甘肃省,瑜县
10000456,15098509074,重庆市,兴城市
10000457,18275366122,辽宁省,兵市
10000458,13770153790,辽宁省,凤英县
10000459,15362498330,河南省,洁县
10000460,18824144184,江苏省,燕市
10000461,18839741862,江苏省,建华市
10000462,15587052384,山西省,璐市
10000463,13987663327,河北省,斌县
10000464,13217551485,西藏自治区,成市
10000465,15690558430,江苏省,台北市
10000466,18054653294,山东省,雪梅市
10000467,15195431805,江苏省,潮州市
10000468,15923917408,香港特别行政区,瑞县
10000469,14568400860,山西省,秀华县
10000470,13195768208,上海市,平市
10000471,13621798397,新疆维吾尔自治区,淮安县
10000472,13039885465,新疆维吾尔自治区,北镇县
10000473,18605415360,河北省,西宁县
10000474,15615976018,广西壮族自治区,兴城市
10000475,13485811107,澳门特别行政区,凯市
10000476,13332544047,吉林省,福州县
10000477,15778277663,广东省,平县
10000478,15017886994,湖北省,小红县
10000479,18900478962,西藏自治区,西宁县
10000480,15170527284,黑龙江省,勇县
10000481,18055635787,湖南省,鹏市
10000482,18727808124,重庆市,雪梅县
10000483,15838948269,江苏省,香港县
10000484,14711598737,西藏自治区,明县
10000485,13917424926,河北省,晨县
10000486,13600420466,云南省,健县
10000487,15815662957,云南省,梧州县
10000488,18018117034,陕西省,冬梅县
10000489,13097115129,山西省,玉珍市
10000490,18044977456,新疆维吾尔自治区,建县
10000491,13083559608,重庆市,超市
10000492,13792906742,新疆维吾尔自治区,桂花市
10000493,15934741305,北京市,南昌市
10000494,13305176986,江西省,敏市
10000495,13130146782,河北省,上海县
10000496,18647687216,广西壮族自治区,长春县
10000497,18882933846,黑龙江省,娜市
10000498,13447351591,广西壮族自治区,海门市
10000499,13308355843,山西省,海口市
10000500,15320664521,内蒙古自治区,杭州县
10000501,15122155697,澳门特别行政区,浩市
10000502,18093998492,辽宁省,六盘水县
10000503,15797686945,黑龙江省,关岭市
10000504,15138931769,四川省,荣县
10000505,15615678749,甘肃省,磊县
10000506,13227483309,河南省,北镇县
10000507,18010359886,吉林省,通辽县
10000508,15606009813,四川省,邯郸市
10000509,18533389816,西藏自治区,乌鲁木齐市
10000510,13188697238,湖南省,丽华县
10000511,18939505363,北京市,秀荣县
10000512,15948454147,西藏自治区,深圳县
10000513,18202520134,陕西省,秀荣县
10000514,15967340286,贵州省,哈尔滨市
10000515,13738544314,香港特别行政区,博县
10000516,15976597913,海南省,俊县
10000517,15661743339,四川省,通辽市
10000518,18233401902,西藏自治区,邯郸市
10000519,15732165284,重庆市,兰州县
10000520,13269454983,河南省,佳市
10000521,13989086651,陕西省,贵阳市
10000522,15875289798,广东省,长春县
10000523,18824786179,河南省,玉珍县
10000524,14532636231,内蒙古自治区,合山县
10000525,13051537033,北京市,佛山县
10000526,15576557179,吉林省,雪县
10000527,13872963190,内蒙古自治区,亮县
10000528,13060257669,安徽省,丹丹县
10000529,13077826237,澳门特别行政区,刚市
10000530,18870615646,江苏省,辉市
10000531,14579850946,天津市,太原县
10000532,14590388847,浙江省,北京市
10000533,13225329048,湖北省,大冶市
10000534,13324852822,贵州省,志强县
10000535,14515981689,山西省,海燕县
10000536,18287487156,澳门特别行政区,坤市
10000537,13971904398,广西壮族自治区,春梅县
10000538,13536655057,甘肃省,惠州市
10000539,15023189033,上海市,柳县
10000540,18832437651,云南省,博市
10000541,15217057934,贵州省,想市
10000542,15787959736,青海省,南京县
10000543,18787371860,天津市,广州市
10000544,13309715671,辽宁省,军市
10000545,14518335714,辽宁省,沈阳县
10000546,15229175685,上海市,哈尔滨市
10000547,18950869337,陕西省,建华县
10000548,15158353529,云南省,凤兰县
10000549,15971246988,香港特别行政区,宁市
10000550,14510034763,辽宁省,桂珍市
10000551,15575371286,云南省,秀梅县
10000552,15582431146,陕西省,拉萨县
10000553,15555692113,江苏省,华县
10000554,15801017176,吉林省,帅市
10000555,13121867003,黑龙江省,淑珍县
10000556,18155829863,广西壮族自治区,南宁县
10000557,14566670041,安徽省,西安县
10000558,15581917734,福建省,琳县
10000559,15039327095,海南省,军县
10000560,13133970523,香港特别行政区,健市
10000561,13120160429,广东省,澳门县
10000562,15817146106,内蒙古自治区,兰州市
10000563,13061805186,山西省,福州市
10000564,15354512609,浙江省,郑州市
10000565,14537495772,浙江省,淑英县
10000566,15874442403,安徽省,乌鲁木齐市
10000567,18227038346,河北省,春梅县
10000568,15654375738,澳门特别行政区,莉县
10000569,13781951255,陕西省,柳市
10000570,14589503495,重庆市,畅市
10000571,15076648171,江苏省,伟市
10000572,14503932743,河南省,成都县
10000573,13239057433,甘肃省,通辽市
10000574,14550248038,河南省,昆明县
10000575,15366266238,贵州省,宁德县
10000576,18062705798,北京市,西安市
10000577,15003250640,黑龙江省,博市
10000578,15678637458,河南省,桂花市
10000579,18622179517,陕西省,福州县
10000580,13869842258,吉林省,桂兰县
10000581,15852797405,贵州省,文市
10000582,15042024807,云南省,辉县
10000583,13154037654,辽宁省,宜都县
10000584,14794090263,吉林省,柳州市
10000585,18885760324,天津市,淑兰县
10000586,13759864049,甘肃省,贵阳县
10000587,14706826335,浙江省,大冶市
10000588,18296886746,内蒙古自治区,桂花县
10000589,13389106011,天津市,郑州县
10000590,13256347397,湖北省,兵县
10000591,15331383304,陕西省,冬梅县
10000592,13970271686,四川省,楠市
10000593,15793130485,宁夏回族自治区,长春市
10000594,15675289503,黑龙江省,玉华市
10000595,15226108096,江西省,倩市
10000596,13181306643,四川省,凤英县
10000597,13968712606,辽宁省,秀云县
10000598,13120384352,内蒙古自治区,马鞍山市
10000599,13532907589,山东省,哈尔滨市
10000600,13932167493,江西省,太原县
10000601,15811515065,北京市,南昌市
10000602,15184910009,安徽省,兰州县
10000603,18608378941,澳门特别行政区,潮州县
10000604,15183201975,台湾省,涛市
10000605,15167874161,山西省,东市
10000606,15780598414,澳门特别行政区,英县
10000607,18953860626,四川省,龙县
10000608,13821957314,河北省,桂花县
10000609,13719588531,上海市,海口市
10000610,18647980324,海南省,呼和浩特市
10000611,18847570147,内蒙古自治区,洋市
10000612,18076718835,青海省,济南市
10000613,18169431048,北京市,丽市
10000614,18188909267,新疆维吾尔自治区,春梅市
10000615,15759086546,西藏自治区,东县
10000616,18836834135,北京市,海口市
10000617,15098488673,上海市,超市
10000618,13553850881,西藏自治区,东莞市
10000619,15067108009,江苏省,邯郸县
10000620,13782611192,江苏省,梧州县
10000621,13281591353,广东省,东莞市
10000622,15178407418,江苏省,淑兰市
10000623,15271604994,北京市,秀兰县
10000624,13629322815,澳门特别行政区,小红市
10000625,13597940892,云南省,琴市
10000626,15551699870,福建省,萍县
10000627,18080389057,河南省,强县
10000628,13598723447,海南省,海口市
10000629,13107726970,西藏自治区,艳市
10000630,18618403161,陕西省,齐齐哈尔县
10000631,15072476072,吉林省,冬梅县
10000632,15027377042,上海市,永安县
10000633,15920917701,新疆维吾尔自治区,飞市
10000634,18845005641,湖北省,秀云市
10000635,14537023439,江西省,军县
10000636,18575761636,福建省,杰市
10000637,14790554199,四川省,嘉禾市
10000638,13998887363,陕西省,宁德市
10000639,18985885870,宁夏回族自治区,伟县
10000640,15112252989,澳门特别行政区,上海县
10000641,13791251709,山东省,汕尾县
10000642,13991677031,广东省,永安市
10000643,15139638969,辽宁省,红霞县
10000644,15198555158,山西省,香港县
10000645,15098483819,四川省,哈尔滨县
10000646,13874517412,台湾省,建市
10000647,13450623303,重庆市,长春市
10000648,14537774974,四川省,淑英县
10000649,18086900955,内蒙古自治区,秀兰县
10000650,13134418071,山西省,武汉县
10000651,13803265820,上海市,凯市
10000652,13736001403,四川省,北镇市
10000653,15675015195,陕西省,福州县
10000654,15198627483,上海市,兰州市
10000655,14528766523,香港特别行政区,秀英县
10000656,14761081086,浙江省,淑华市
10000657,15373062870,黑龙江省,帆县
10000658,14529738354,海南省,武汉市
10000659,13155887347,湖南省,张家港县
10000660,13283823013,宁夏回族自治区,潮州县
10000661,15250081760,江西省,通辽市
10000662,13122578117,青海省,呼和浩特县
10000663,13212985027,江西省,桂花县
10000664,15730784991,山东省,武汉县
10000665,15523580645,黑龙江省,银川市
10000666,15943343742,江西省,荣县
10000667,15818849934,甘肃省,沈阳市
10000668,15570170862,澳门特别行政区,郑州市
10000669,14585327419,辽宁省,霞县
10000670,15191100236,青海省,倩市
10000671,18290530822,浙江省,桂珍市
10000672,13074041264,云南省,沈阳县
10000673,13566980741,台湾省,敏县
10000674,18692946059,内蒙古自治区,南宁市
10000675,15651899223,江苏省,丽娟市
10000676,18131674050,重庆市,兵县
10000677,15547240820,宁夏回族自治区,淑珍县
10000678,15311346427,北京市,乌鲁木齐县
10000679,15051431522,宁夏回族自治区,通辽市
10000680,15669042412,浙江省,长春县
10000681,15099127723,内蒙古自治区,香港市
10000682,15502097437,海南省,桂香市
10000683,14505331988,江苏省,济南县
10000684,13332347506,山东省,台北县
10000685,14557698361,西藏自治区,齐齐哈尔市
10000686,13864942610,江西省,阜新县
10000687,18606615797,甘肃省,长沙市
10000688,18724595892,吉林省,瑜县
10000689,13744813308,台湾省,秀珍市
10000690,18218601327,西藏自治区,莉县
10000691,18798558431,天津市,石家庄县
10000692,15349519952,青海省,波市
10000693,14543064372,云南省,荣市
10000694,13948611786,澳门特别行政区,汕尾市
10000695,15600954885,上海市,永安市
10000696,13878779398,江西省,柳州市
10000697,13264581089,上海市,太原市
10000698,13326293639,黑龙江省,利县
10000699,18798199288,江西省,南昌县
10000700,18530497603,广西壮族自治区,福州县
10000701,18174539909,新疆维吾尔自治区,瑞市
10000702,15062059187,广西壮族自治区,梅县
10000703,18618097529,山东省,郑州县
10000704,18781245833,内蒙古自治区,台北县
10000705,13952276741,云南省,东莞县
10000706,18160582720,辽宁省,涛县
10000707,13055898582,广西壮族自治区,俊县
10000708,15701999868,广西壮族自治区,丹县
10000709,13527957837,浙江省,晨市
10000710,15269700250,安徽省,涛市
10000711,13226767378,贵州省,郑州县
10000712,13699044274,湖南省,兰英市
10000713,13102126457,广西壮族自治区,兰州市
10000714,14593050286,安徽省,北京市
10000715,15148128881,山东省,玉兰市
10000716,14596843350,湖南省,南宁县
10000717,15353483771,吉林省,南京县
10000718,15253626273,香港特别行政区,柳市
10000719,13704601618,新疆维吾尔自治区,大冶县
10000720,13848069889,北京市,洁市
10000721,14546293799,广西壮族自治区,雪梅县
